initials iteracion time risk arrival valencia arousal
MHG 1 0.5255373137825703 0.6452670144837881 0.2768108646941967 0 75
mp 1 0.4984615284837905 0.6634833487600097 0.19823301279341907 25 25
mp 1 0.4846596000512216 0.9272238212895264 0.1449310118720613 100 75
MO 2 0.45818913617361284 0.8999651727342828 0.2728599727503848 100 100
MHG 2 0.4595593475463711 0.868748699972358 0.2627338334810066 100 75
MHG 2 0.4597135588354613 0.8667269593721654 0.2885390361195653 100 50
MHG 2 0.458904671142526 0.8955263303423449 0.3041781438270339 25 75
MHG 3 0.9219601121361245 0.7537132885032378 0.1712264503559322 0 0
ARH 3 0.563977369645388 0.7477512837514338 0.19206996963422457 75 50
MHG 3 0.6175550841412343 0.8764958567394897 0.00019563587043873595 0 0
MHG 3 0.536927344854439 0.7857077406717486 0.04768013220747465 0 0
CARE 2 0.459167682928114 0.8651705018746499 0.1011079520794157 75 50
EGA 2 0.45307523226941504 0.9444322826768645 0.27506205796285244 0 50
EGA 2 0.4399801697010422 0.9810597352117704 0.1981399600820706 100 50
EGA 2 0.4548557836209679 0.9298478876940789 0.04792883266966079 75 50
CARE 3 0.43489629163087073 0.8175859038955056 0.0975142348637857 75 75
CARE 3 0.45749702791405916 0.7946569601331365 0.08534473351778746 0 75
CARE 3 0.43709547413557837 0.7996789342873667 0.029095970087296107 0 100
CARE 3 0.4483187358474537 0.8566280602931865 0.01865252249225225 100 50
MHG 4 0.4880997506452671 0.8912882879759056 0.03321731463669652 50 50
MHG 4 0.5221268430225984 0.9330349050604748 0.028383957598960913 0 0
MHG 4 0.4642062525400211 0.8346540439968613 0.07592109657518349 50 50
ZFG 3 0.464201163042985 0.80842611231755 0.26076577370753146 100 100
ZFG 3 0.46413078686196935 0.8438098885412906 0.25955127657791444 100 100
ZFG 3 0.45330225848956623 0.7903770919436844 0.31126213496513755 100 100
